Geneid	SRR9106183	SRR9106184	SRR9106185	SRR9106186	SRR9106187	SRR9106188	SRR9106189	SRR9106190	SRR9106191	SRR9106192	SRR9106193	SRR9106194	SRR9106195	SRR9106196	SRR9106197	SRR9106198	SRR9106199	SRR9106200	SRR9106201	SRR9106202	SRR9106203	SRR9106204	SRR9106205	SRR9106206	SRR9106207	SRR9106208	SRR9106209	SRR9106210	SRR9106211	SRR9106212	SRR9106213	SRR9106214	SRR9106215	SRR9106216	SRR9106217	SRR9106218	SRR9106219	SRR9106220	SRR9106221	SRR9106222	SRR9106223	SRR9106224	SRR9106225	SRR9106226	SRR9106227	SRR9106228	SRR9106229	SRR9106230	SRR9106231	SRR9106232	SRR9106233	SRR9106234	SRR9106235	SRR9106236	SRR9106237	SRR9106238	SRR9106239	SRR9106240	SRR9106241	SRR9106242	SRR9106243	SRR9106244	SRR9106245	SRR9106246	SRR9106247	SRR9106248	SRR9106249	SRR9106250	SRR9106251	SRR9106252	SRR9106253	SRR9106254	SRR9106255
TRINITY_DN441_c0_g2_i9.p2	7	14	11	17	15	14	10	2	5	4	1	3	1	10	9	13	10	1	0	1	1	3	0	1	2	2	39	45	36	17	15	10	13	12	3	78	57	63	2	14	26	22	18	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN4424_c0_g1_i3.p1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	3	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN4424_c0_g1_i6.p2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	1	2	1	0	0	0	0	0	5	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN4424_c0_g1_i8.p2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN4427_c0_g1_i2.p3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0	2	3	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN4429_c0_g1_i11.p1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	1	1	3	0	0	2	0	0	0	4	4	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i12.p1	10	9	4	4	1	8	6	2	3	2	4	1	0	5	6	9	8	2	1	2	0	0	1	1	3	1	27	24	32	9	6	3	3	4	0	41	41	52	4	7	11	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i16.p1	3	2	2	1	0	2	1	1	1	0	0	1	1	2	2	3	3	0	0	0	1	1	0	0	0	0	5	2	6	3	0	0	0	0	0	10	7	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i20.p1	1	3	2	2	4	2	2	0	0	0	0	0	0	1	2	2	4	0	0	0	0	0	1	0	0	0	5	5	8	1	0	0	0	0	0	8	10	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i21.p2	0	1	3	1	0	1	1	0	0	0	1	0	3	1	3	1	1	0	2	0	0	0	1	0	0	0	6	1	6	0	1	0	3	0	0	4	9	6	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
