Geneid	SRR9106183	SRR9106184	SRR9106185	SRR9106186	SRR9106187	SRR9106188	SRR9106189	SRR9106190	SRR9106191	SRR9106192	SRR9106193	SRR9106194	SRR9106195	SRR9106196	SRR9106197	SRR9106198	SRR9106199	SRR9106200	SRR9106201	SRR9106202	SRR9106203	SRR9106204	SRR9106205	SRR9106206	SRR9106207	SRR9106208	SRR9106209	SRR9106210	SRR9106211	SRR9106212	SRR9106213	SRR9106214	SRR9106215	SRR9106216	SRR9106217	SRR9106218	SRR9106219	SRR9106220	SRR9106221	SRR9106222	SRR9106223	SRR9106224	SRR9106225	SRR9106226	SRR9106227	SRR9106228	SRR9106229	SRR9106230	SRR9106231	SRR9106232	SRR9106233	SRR9106234	SRR9106235	SRR9106236	SRR9106237	SRR9106238	SRR9106239	SRR9106240	SRR9106241	SRR9106242	SRR9106243	SRR9106244	SRR9106245	SRR9106246	SRR9106247	SRR9106248	SRR9106249	SRR9106250	SRR9106251	SRR9106252	SRR9106253	SRR9106254	SRR9106255
TRINITY_DN1489_c0_g1_i29.p2	0	1	2	0	2	0	1	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1489_c0_g1_i3.p2	2	0	2	0	0	1	1	0	0	1	2	0	0	3	5	4	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	0	0	1	0	4	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1489_c0_g1_i39.p2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	2	4	1	0	0	3	0	3	7	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1489_c0_g1_i40.p1	3	2	1	3	1	0	1	0	0	0	1	0	0	3	3	1	3	0	1	1	0	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN148_c0_g1_i21.p3	31	46	38	37	36	38	33	4	7	9	8	9	6	82	79	87	83	6	1	0	0	0	1	1	1	0	24	38	29	16	4	1	4	1	1	69	67	79	3	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN148_c0_g1_i22.p2	37	59	42	51	47	56	48	7	10	9	10	13	7	97	108	107	113	8	2	0	0	0	1	4	1	0	31	42	30	17	5	2	5	1	1	80	81	93	7	1	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN148_c0_g2_i6.p3	3	6	0	3	0	1	3	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	2	2	5	0	4	4	3	3	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TRINITY_DN148_c0_g3_i4.p2	0	2	1	0	0	1	0	0	0	0	1	0	0	3	5	0	1	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	3	5	4	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1490_c0_g1_i5.p2	1	2	2	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	3	1	1	6	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g1_i2.p1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	3	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g1_i20.p1	3	2	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	3	1	2	2	2	1	0	1	0	0	0	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g1_i24.p1	2	1	0	0	2	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g1_i35.p1	1	0	1	3	3	1	3	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	2	0	2	1	1	2	0	1	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g1_i5.p2	12	2	7	5	2	3	5	1	0	1	1	0	0	0	2	1	2	0	1	1	1	0	1	0	0	0	8	4	5	0	1	0	0	2	0	10	6	2	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g1_i8.p1	0	0	0	2	3	1	2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	2	0	1	1	1	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g2_i13.p1	1	1	0	2	2	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	2	0	1	0	4	2	2	1	0	0	2	0	0	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g2_i4.p1	2	1	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	5	2	3	1	0	0	2	0	0	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g2_i8.p2	0	0	2	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	2	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1491_c0_g2_i9.p2	0	2	0	2	0	1	1	0	0	0	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	1	3	1	0	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14928_c0_g1_i21.p2	1	0	0	0	0	0	1	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	2	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14928_c0_g1_i9.p1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	5	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i1.p3	2	3	1	4	5	3	3	0	2	0	1	0	0	7	1	5	2	0	0	0	0	0	0	0	0	0	8	3	5	3	0	0	0	1	0	12	4	9	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i13.p1	2	1	2	2	1	0	5	0	0	0	0	0	0	2	0	3	4	0	0	0	0	0	0	0	0	0	3	2	8	2	1	0	1	0	0	9	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i17.p1	9	7	8	5	2	8	8	1	1	0	1	4	0	15	6	14	6	0	0	1	0	0	0	0	0	0	15	15	7	4	0	0	3	0	0	20	25	19	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i21.p3	4	1	5	5	3	6	9	1	1	0	1	3	0	8	5	7	4	0	0	0	0	0	0	0	1	0	10	7	10	3	0	0	1	0	0	10	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i3.p3	6	3	5	6	6	4	2	1	3	0	0	0	1	6	2	9	1	0	0	0	0	0	0	1	0	0	11	5	3	6	1	1	0	0	0	8	7	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i30.p2	4	4	1	4	2	2	1	1	1	0	4	0	0	5	2	7	5	0	0	1	0	0	0	0	0	0	14	5	10	5	0	0	0	1	0	7	9	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i33.p2	2	4	2	3	0	1	7	1	0	0	0	1	0	5	13	6	7	0	1	0	0	0	0	0	0	0	12	16	7	7	0	1	1	2	0	21	17	25	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i35.p2	1	2	1	2	0	1	3	0	0	0	0	1	0	5	4	5	3	0	0	1	0	0	0	0	0	0	4	10	2	2	0	1	0	0	0	10	8	11	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i38.p4	2	3	3	2	1	1	4	0	1	0	0	0	0	6	6	7	4	0	0	0	0	0	0	0	0	0	9	4	3	0	0	0	1	0	0	16	13	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i6.p3	1	1	2	3	4	3	1	0	2	0	0	0	0	2	1	2	2	0	0	0	0	0	0	0	1	0	6	1	5	2	0	0	0	1	0	4	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1492_c0_g1_i7.p3	4	3	4	3	3	4	1	1	2	0	1	0	0	6	4	7	1	0	0	0	0	0	0	1	0	0	7	4	3	3	0	1	0	0	0	8	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14933_c0_g1_i12.p1	0	3	2	4	2	0	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	1	0	3	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14933_c0_g1_i13.p2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14933_c0_g1_i2.p1	1	1	2	0	1	0	4	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14933_c0_g1_i4.p2	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14934_c0_g1_i10.p1	0	0	1	1	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1493_c0_g1_i2.p2	1	0	1	1	0	4	1	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	0	0	6	9	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1493_c0_g1_i5.p1	2	4	2	4	0	10	2	0	0	0	0	0	0	8	16	15	20	1	0	0	0	0	0	0	0	0	2	5	2	2	0	0	4	0	0	45	39	49	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14957_c2_g1_i2.p1	18	12	10	15	23	16	6	1	1	2	2	2	1	11	18	29	18	1	0	0	0	0	0	0	0	0	19	23	15	13	0	4	1	7	1	14	34	29	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1496_c0_g1_i24.p3	0	0	1	2	3	1	3	0	0	1	0	1	1	6	5	5	8	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	2	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1496_c0_g1_i5.p1	2	2	0	1	0	1	0	0	0	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	1	5	1	0	0	0	0	0	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1496_c0_g1_i6.p2	1	4	0	2	0	1	2	1	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1496_c0_g1_i9.p2	7	5	11	5	2	9	3	1	1	2	0	0	1	7	7	4	9	1	0	0	0	0	0	0	0	0	3	2	4	2	1	1	1	0	0	9	13	16	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14976_c0_g1_i3.p2	54	73	59	71	55	65	50	0	6	1	1	0	0	1199	938	1042	1050	89	0	0	0	0	0	0	1	0	31	32	33	29	0	1	0	0	0	72	58	93	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14976_c0_g1_i5.p2	63	72	64	82	67	75	59	0	6	1	1	0	0	1261	1015	1028	1054	97	0	0	0	0	0	0	1	0	29	32	33	29	0	1	0	0	0	75	62	96	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14981_c0_g2_i1.p1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14982_c0_g1_i1.p2	3	1	1	1	1	6	1	1	1	0	0	0	0	0	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14987_c1_g1_i1.p1	2	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	1	1	1	0	1	2	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0
TRINITY_DN1498_c0_g1_i10.p3	3	2	0	0	2	2	3	0	0	1	1	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	2	0	5	3	3	0	2	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1498_c0_g1_i8.p1	3	2	2	0	6	2	3	0	0	1	0	0	0	0	7	1	0	0	0	1	0	2	0	0	0	0	4	1	2	0	2	0	0	2	0	3	5	3	0	6	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1498_c0_g2_i13.p1	2	1	1	4	2	0	3	0	1	3	0	2	0	6	1	2	3	0	0	0	0	0	0	0	1	0	1	2	3	1	0	2	2	2	0	2	4	1	0	5	6	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1498_c0_g2_i3.p1	4	0	0	2	2	1	2	0	0	0	0	1	0	3	1	3	0	0	0	0	0	0	0	0	1	0	0	2	1	0	2	2	2	0	0	1	0	5	0	2	5	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1498_c0_g5_i1.p1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	0	0	0	0	2	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14990_c0_g2_i2.p1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	3	3	2	0	1	1	1	0	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1499_c0_g1_i3.p2	0	2	0	4	1	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	3	1	2	0	1	1	0	0	0	2	4	4	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1499_c0_g1_i7.p1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	2	0	0	0	0	1	1	0	1	0	0	0	4	2	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1499_c0_g2_i20.p2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	2	0	1	0	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i10.p1	2	18	11	12	10	10	13	2	3	0	6	1	1	21	9	16	9	1	0	1	0	1	0	0	0	0	26	24	19	12	3	1	6	8	0	42	64	46	4	4	1	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i12.p1	5	10	4	6	4	5	8	0	1	0	4	0	0	14	5	5	6	0	0	0	0	1	0	0	0	0	12	9	10	6	0	1	1	5	0	29	38	28	4	6	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i13.p4	2	4	3	6	3	8	3	1	0	0	1	1	1	2	2	7	5	0	0	0	0	0	0	0	0	0	10	11	9	7	0	2	1	2	0	14	25	27	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i19.p2	2	11	4	8	5	8	7	0	1	0	4	0	0	17	7	6	4	0	0	0	0	0	0	1	0	0	12	8	11	5	2	0	1	5	1	31	32	28	3	4	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i22.p1	0	8	4	5	3	4	7	0	1	0	3	0	0	9	4	5	2	0	0	0	0	0	0	0	0	0	4	6	7	3	0	0	0	4	0	16	25	20	2	4	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i23.p2	10	10	10	11	5	6	2	2	1	0	5	0	0	10	21	4	8	1	0	0	0	0	0	1	1	0	7	13	11	7	1	0	1	1	1	48	27	19	1	3	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i25.p5	1	0	0	2	1	4	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	9	7	6	1	1	2	0	0	0	18	18	13	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i3.p1	5	6	7	9	2	6	3	3	0	1	1	0	0	5	3	5	4	2	0	0	0	0	0	1	1	0	6	9	7	5	1	0	0	1	0	24	20	16	1	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i7.p3	3	2	1	10	3	3	1	0	1	2	2	0	0	2	2	2	3	0	0	0	0	0	0	1	0	0	10	10	6	5	1	0	0	0	0	18	12	16	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN149_c0_g1_i9.p1	22	18	22	20	21	22	10	15	2	5	5	5	2	20	14	26	22	1	0	1	1	1	1	1	2	2	47	52	32	12	6	3	1	4	1	69	86	76	4	5	7	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14_c0_g1_i100.p3	9	9	9	18	19	7	10	6	8	10	11	6	6	17	14	16	7	2	18	6	23	5	10	8	18	6	87	46	73	40	123	112	143	76	40	60	35	54	8	33	31	46	30	21	9	10	15	9	16	6	6	8	12	12	7	7	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
TRINITY_DN14_c0_g1_i107.p1	38	47	54	43	49	57	36	62	69	47	55	58	32	44	35	39	15	1	7	61	12	8	9	8	11	5	169	158	150	69	322	287	332	276	124	98	96	72	15	164	162	169	140	59	50	53	65	53	47	45	20	45	34	36	42	34	24	0	2	1	1	1	1	0	0	2	0	3	3	2	3	3	3
TRINITY_DN14_c0_g1_i108.p1	9	13	8	6	10	11	4	3	3	11	7	2	6	17	5	5	5	2	4	6	13	23	3	4	3	6	82	57	72	12	56	69	83	59	7	125	97	142	5	15	10	27	36	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
TRINITY_DN14_c0_g1_i117.p1	38	42	52	37	46	50	25	59	67	50	52	56	32	10	10	6	5	1	5	2	8	5	2	4	4	2	32	24	16	16	26	34	47	17	10	73	59	56	5	111	93	89	76	41	7	3	2	5	6	4	5	12	9	6	5	4	7	0	0	0	1	0	1	0	0	1	0	1	1	2	1	2	3
TRINITY_DN14_c0_g1_i118.p2	8	3	7	15	11	6	4	2	7	6	7	2	2	7	3	5	2	0	5	1	8	2	6	2	5	2	14	8	11	5	17	8	10	5	4	25	10	16	5	10	9	19	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14_c0_g1_i124.p1	32	36	37	35	24	32	26	8	13	9	8	11	8	31	45	39	44	7	2	7	3	4	4	1	2	2	25	40	18	15	10	12	13	9	3	54	52	56	4	6	6	16	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14_c0_g1_i125.p1	33	22	23	20	22	18	26	9	7	14	17	15	6	3	6	1	1	0	0	0	0	1	0	0	2	0	234	197	185	113	107	92	127	107	31	68	69	93	13	29	35	27	34	13	1	0	0	3	0	1	1	3	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN14_c0_g1_i13.p1	29	19	32	30	29	28	15	13	9	12	15	12	2	18	3	6	2	1	3	4	0	1	3	4	2	4	64	51	61	8	50	58	65	63	8	121	121	163	10	45	38	60	58	18	2	1	2	5	4	2	0	1	0	3	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TRINITY_DN14_c0_g1_i131.p2	46	47	54	54	55	51	48	44	39	37	50	43	22	23	30	21	21	4	0	2	1	0	4	2	2	0	42	35	44	27	23	15	18	15	3	22	33	44	2	3	2	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	2	0	1	4	6	6	3	5	3	7	8
TRINITY_DN14_c0_g1_i14.p1	2	0	1	0	1	1	1	0	2	0	2	2	0	1	0	2	0	0	1	0	1	1	2	0	0	2	1	2	1	1	3	1	1	5	0	3	6	1	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
TRINITY_DN14_c0_g1_i145.p1	44	50	58	43	54	60	29	61	70	54	59	56	38	26	14	10	9	3	9	7	20	28	5	7	6	7	94	63	79	23	77	85	116	71	16	154	119	154	10	116	95	104	106	46	7	3	2	5	6	4	5	12	9	6	5	4	7	0	0	0	1	0	1	0	0	1	1	2	2	2	2	2	3
