ID,count
ENSBTAG00000015413,1
ENSBTAG00000017055,1
ENSBTAG00000046701,1
ENSBTAG00000002880,1
ENSBTAG00000012887,1
ENSBTAG00000021707,1
ENSBTAG00000023730,1
ENSBTAG00000000546,1
ENSBTAG00000004741,1
ENSBTAG00000006359,1
ENSBTAG00000008448,1
ENSBTAG00000008479,1
ENSBTAG00000009696,1
ENSBTAG00000012503,1
ENSBTAG00000015053,1
ENSBTAG00000023374,1
ENSBTAG00000046443,1
ENSBTAG00000021421,1
ENSBTAG00000037778,1
ENSBTAG00000039080,1
ENSBTAG00000004086,1
ENSBTAG00000002683,1
ENSBTAG00000024015,1
ENSBTAG00000017715,1
ENSBTAG00000020755,1
ENSBTAG00000011548,1
ENSBTAG00000000226,1
ENSBTAG00000001961,1
ENSBTAG00000002023,1
ENSBTAG00000004388,1
ENSBTAG00000010579,1
ENSBTAG00000007446,1
ENSBTAG00000019554,1
ENSBTAG00000001862,1
ENSBTAG00000033367,1
ENSBTAG00000021190,1
ENSBTAG00000051862,1
ENSBTAG00000010397,1
ENSBTAG00000015650,1
ENSBTAG00000005772,1
ENSBTAG00000009515,1
ENSBTAG00000000128,1
ENSBTAG00000005021,1
ENSBTAG00000017044,1
ENSBTAG00000000225,1
ENSBTAG00000000283,1
ENSBTAG00000001662,1
ENSBTAG00000014380,1
ENSBTAG00000003387,1
ENSBTAG00000011291,1
ENSBTAG00000008300,1
ENSBTAG00000003667,1
ENSBTAG00000006487,1
ENSBTAG00000021685,1
ENSBTAG00000004640,1
ENSBTAG00000006253,1
ENSBTAG00000020590,1
ENSBTAG00000048916,1
ENSBTAG00000015926,1
ENSBTAG00000017222,1
ENSBTAG00000003572,1
ENSBTAG00000017103,1
ENSBTAG00000046649,1
ENSBTAG00000017969,1
ENSBTAG00000030973,1
ENSBTAG00000016221,1
ENSBTAG00000009287,1
ENSBTAG00000017253,1
ENSBTAG00000008951,1
ENSBTAG00000017604,1
ENSBTAG00000006505,1
ENSBTAG00000007773,1
ENSBTAG00000009819,1
ENSBTAG00000008596,1
ENSBTAG00000006692,1
ENSBTAG00000002706,1
ENSBTAG00000011585,1
ENSBTAG00000012721,1
ENSBTAG00000014705,1
ENSBTAG00000019772,1
ENSBTAG00000022927,1
ENSBTAG00000017685,1
ENSBTAG00000008441,1
ENSBTAG00000011518,1
ENSBTAG00000012919,1
ENSBTAG00000015164,1
ENSBTAG00000015893,1
ENSBTAG00000004896,1
ENSBTAG00000015086,1
ENSBTAG00000003326,1
